test_case,threads,time_sec,acceleration_ratio,segments_used,peak_memory
tiny,1,0.1607,1.0,63,36.00 KB
tiny,2,0.076,2.11,63,140.00 KB
tiny,4,0.0958,1.68,63,104.00 KB
tiny,8,0.0842,1.91,63,104.00 KB
small_dense,1,0.1212,1.0,245,104.00 KB
small_dense,2,0.125,0.97,245,104.00 KB
small_dense,4,0.1288,0.94,245,104.00 KB
small_dense,8,0.1214,1.0,245,136.00 KB
med_sparse,1,0.1659,1.0,1164,1.44 MB
med_sparse,2,0.0866,1.92,1164,104.00 KB
med_sparse,4,0.1075,1.54,1164,136.00 KB
med_sparse,8,0.1021,1.62,1164,104.00 KB
med_dense,1,1.1173,1.0,3424,2.58 MB
med_dense,2,0.6885,1.62,3424,2.93 MB
med_dense,4,0.5139,2.17,3424,3.50 MB
med_dense,8,0.4085,2.74,3424,3.58 MB
lg_sparse,1,1.4765,1.0,4813,3.81 MB
lg_sparse,2,1.0593,1.39,4813,4.04 MB
lg_sparse,4,0.6639,2.22,4813,4.96 MB
lg_sparse,8,0.6268,2.36,4813,6.12 MB
large_dense,1,14.6002,1.0,14807,10.06 MB
large_dense,2,9.8061,1.49,14807,11.08 MB
large_dense,4,8.1727,1.79,14807,12.53 MB
large_dense,8,5.534,2.64,14807,16.02 MB
xl,1,31.1194,1.0,26327,15.48 MB
xl,2,18.2938,1.7,26327,17.30 MB
xl,4,12.99,2.4,26327,20.17 MB
xl,8,10.3071,3.02,26327,24.78 MB
huge,1,155.4443,1.0,59157,31.37 MB
huge,2,80.5783,1.93,59157,36.69 MB
huge,4,50.0838,3.1,59157,40.69 MB
huge,8,34.7202,4.48,59157,51.87 MB
