test_case,threads,time_sec,acceleration_ratio,segments_used,peak_memory
tiny,1,0.1561,1.0,69,184.00 KB
tiny,2,0.2182,0.72,69,76.00 KB
tiny,4,6.9739,0.02,69,916.00 KB
tiny,8,5.0374,0.03,69,148.00 KB
small_dense,1,0.1712,1.0,218,132.00 KB
small_dense,2,5.0572,0.03,218,132.00 KB
small_dense,4,5.1895,0.03,218,100.00 KB
small_dense,8,5.0505,0.03,218,104.00 KB
med_sparse,1,0.7635,1.0,991,1.74 MB
med_sparse,2,0.653,1.17,991,2.17 MB
med_sparse,4,5.5537,0.14,991,80.00 KB
med_sparse,8,5.2221,0.15,991,88.00 KB
med_dense,1,5.2133,1.0,2821,3.24 MB
med_dense,2,7.8354,0.67,2821,3.88 MB
med_dense,4,5.293,0.98,2821,4.21 MB
med_dense,8,5.686,0.92,2821,7.55 MB
lg_sparse,1,6.4267,1.0,3936,4.51 MB
lg_sparse,2,5.1794,1.24,3936,4.43 MB
lg_sparse,4,5.7234,1.12,3936,5.93 MB
lg_sparse,8,5.0422,1.27,3936,6.88 MB
large_dense,1,62.9988,1.0,11399,10.84 MB
large_dense,2,5.6028,11.24,11399,9.64 MB
large_dense,4,26.0772,2.42,11399,17.35 MB
large_dense,8,5.2868,11.92,11399,9.37 MB
xl,1,169.8721,1.0,21100,21.17 MB
xl,2,5.2253,32.51,21100,15.06 MB
xl,4,19.174,8.86,21100,34.91 MB
xl,8,5.223,32.52,21100,12.83 MB
huge,1,869.2769,1.0,47145,50.88 MB
huge,2,6.6144,131.42,47145,32.85 MB
huge,4,6.192,140.39,47145,30.54 MB
huge,8,6.5887,131.93,47145,34.14 MB
